timestamp,btc_price,eth_price,btc_pct_change,eth_pct_change,price_ratio,pct_change_corr,price_ratio_change,btc_pct_change_zscore,eth_pct_change_zscore,price_ratio_change_zscore,pct_change_corr_zscore,btc_pct_change_norm,eth_pct_change_norm,price_ratio_change_norm,pct_change_corr_norm
2021-08-16 05:00:00+00:00,46394.91,3192.99,-0.021750310217188762,-0.026622402692420333,14.530239681301854,0.8072480532371927,0.005005346834268787,-0.7083481385026088,-0.6813668072692152,0.2087295444861297,-0.29087172951438867,0.36884978132568036,0.29314929234429177,0.6798644398881287,0.7434062415803897
2021-08-17 05:00:00+00:00,45082.78,3045.34,-0.02828176625409995,-0.04624192371413616,14.803857697334287,0.8163856606905108,0.018830936174063062,-0.9085556008344526,-1.1510696388373423,0.8015785057496758,-0.20471984685769126,0.35133031145058596,0.25914637856941064,0.7112504522578045,0.7573560544497383
2021-08-18 05:00:00+00:00,44133.99,2983.28,-0.021045507841353173,-0.020378676929341255,14.793780670939366,0.7906833913699121,-0.0006807027330947291,-0.6867439671947011,-0.5318883532739795,-0.03509142378187876,-0.44704792910804003,0.37074028842265316,0.3039703959033946,0.6669563158530694,0.7181180100084924
2021-08-19 05:00:00+00:00,47100.85,3223.8,0.06722392423617274,0.08062267034941395,14.610351138408088,0.8073313814064693,-0.012399097743256648,2.0189619118380437,1.8861430939013875,-0.5375827200808466,-0.29008608855769524,0.6075073503816636,0.4790174879738404,0.6403539279401674,0.7435334534762926
2021-08-20 05:00:00+00:00,48649.63,3270.89,0.03288220913210704,0.014606985545008833,14.873514548028213,0.7994522040466776,0.018012120798952758,0.966291941428254,0.30568891022293854,0.7664672470054618,-0.3643731452954625,0.5153918037371393,0.36460462153793977,0.7093916273744614,0.7315048069957972
2021-08-21 05:00:00+00:00,49162.91,3247.7,0.010550542727663315,-0.007089813475843032,15.137762108569143,0.7996595848121671,0.01776631607059964,0.2817636777136674,-0.21374517406376475,0.7559270035267718,-0.36241790225564213,0.4554910779843666,0.32700154318142083,0.7088336164242584,0.7318214022190064
2021-08-22 05:00:00+00:00,50336.36,3347.98,0.023868603384136433,0.030877236197924818,15.034844891546545,0.7995500640421871,-0.006798707515976887,0.6899996226768701,0.6952082462729405,-0.2974348719629503,-0.36345049427406667,0.49121440845573006,0.3928028598860859,0.6530675933491698,0.731654203720457
2021-08-23 05:00:00+00:00,49498.28,3336.66,-0.01664959484555506,-0.0033811432565308275,14.834678990367614,0.8011079962260117,-0.013313466325913015,-0.5519968938703705,-0.12495743549281646,-0.576791353515341,-0.3487618800636573,0.38253154367541636,0.33342910038565443,0.6382781839743683,0.7340326011881221
2021-08-24 05:00:00+00:00,48017.23,3175.13,-0.029921241707792534,-0.04841068613523691,15.122917801790793,0.8056081529515603,0.019430067317960598,-0.9588101257495997,-1.2029910822335421,0.827269582461895,-0.30633316159037355,0.3469327099571972,0.2553876608351057,0.7126105633555138,0.7409027085466241
2021-08-25 05:00:00+00:00,47883.51,3158.99,-0.0027848336940718976,-0.005083256433594974,15.157854250883986,0.795097696773054,0.0023101659052233714,-0.12700304406283164,-0.16570702250014144,0.09315868707589006,-0.4054286405748898,0.4197213010505055,0.3304791401123766,0.6737460040009833,0.7248570535312719
2021-08-26 05:00:00+00:00,46929.71,3103.16,-0.019919174680385843,-0.01767337028607241,15.123200221709483,0.805433133069418,-0.002286209419943508,-0.6522186940208322,-0.46712172674945934,-0.1039364435641703,-0.30798329729886664,0.3737614769250899,0.3086590072320741,0.6633115921820144,0.7406355166567588
2021-08-27 05:00:00+00:00,48987.24,3250.41,0.043842802352709986,0.047451629951404284,15.071095646395378,0.8125807747728333,-0.0034453405727783437,1.302264891708768,1.09200894639796,-0.1536406321551338,-0.24059336044169186,0.5447916468435361,0.4215282136318117,0.6606802031101405,0.7515473734780528
2021-08-28 05:00:00+00:00,48187.85,3181.52,-0.016318331059271718,-0.021194249340852345,15.146172269858432,0.8481646653329833,0.0049814973791246775,-0.5418427289124462,-0.551413634783737,0.2077068665834822,0.09490137159493327,0.383420099901119,0.30255691397612994,0.6798102983050276,0.8058710700270031
2021-08-29 05:00:00+00:00,47894.73,3165.76,-0.006082861136157636,-0.004953607080892097,15.128983245729303,0.8681259404430698,-0.0011348757839850787,-0.2280968432324617,-0.16260314101352855,-0.05456661683417334,0.28310177741755044,0.4108749286501822,0.33070383753266763,0.6659252798051384,0.8363446982542891
2021-08-30 05:00:00+00:00,47070.0,3228.98,-0.017219639822586008,0.019969928232083323,14.577358794418052,0.8872845035609245,-0.03646143579853378,-0.569470372620195,0.4340809011827754,-1.5693891603736558,0.46373399323910036,0.38100249934807134,0.3738992254972507,0.5857290709966382,0.865592876369298
