timestamp,btc_price,eth_price,price_pair,btc_returns,eth_returns,return_spread,volatility_ratio_7D,eth_beta_7D,correlation_7D,volatility_ratio_14D,eth_beta_14D,correlation_14D,volatility_ratio_30D,eth_beta_30D,correlation_30D,volatility_ratio_60D,eth_beta_60D,correlation_60D,volatility_ratio_90D,eth_beta_90D,correlation_90D,volatility_ratio_120D,eth_beta_120D,correlation_120D,return_spread_norm,volatility_ratio_7D_norm,eth_beta_7D_norm,correlation_7D_norm,volatility_ratio_14D_norm,eth_beta_14D_norm,correlation_14D_norm,volatility_ratio_30D_norm,eth_beta_30D_norm,correlation_30D_norm,volatility_ratio_60D_norm,eth_beta_60D_norm,correlation_60D_norm,volatility_ratio_90D_norm,eth_beta_90D_norm,correlation_90D_norm,volatility_ratio_120D_norm,eth_beta_120D_norm,correlation_120D_norm,cluster
2021-05-01 05:00:00+00:00,56948.84,2927.62,19.452264979744637,-0.0205113739951223,0.028339199280631,-0.0488505732757533,0.9965084104310514,0.4766801555286873,0.4750157840699186,0.7367940953470621,0.9752637510201048,0.7185685731576404,0.7427823989920875,1.1029306899564804,0.8192375038078726,0.8062356981815826,1.01191163917023,0.8158392869044803,0.8905067825951208,0.8949251341295775,0.796936901857237,0.7647768726453695,0.857810971791214,0.6560339923273699,0.6624533096167315,0.2954552469059686,0.173810203504679,0.6085431488225972,0.3142896124637334,0.4488215537046146,0.7458819379067916,0.3354355437010232,0.4704975857021254,0.7617097846819877,0.3747681292639311,0.4083002703957936,0.6190371618032086,0.4724067330913193,0.2913787744148131,0.5424534171184678,0.2717888600469281,0.221930648135905,0.0445045908549995,1
2021-05-02 05:00:00+00:00,57846.84,3054.28,18.9395995128148,0.0157685389201958,0.0432638115602435,-0.0274952726400476,2.883572499496436,0.0903314033040689,0.2604771504085347,0.7231827640656493,0.9894213155144106,0.7155324417791823,0.74764910725133,1.1084139418825243,0.8287046941133971,0.8036990406407325,1.01551315903347,0.8161669516732395,0.8917897897603011,0.8961771002574723,0.7992015878266077,0.7445483344992985,0.8834179251877291,0.6577473448653496,0.7019821581659784,1.0,0.0800964924342218,0.4478441817332846,0.3022833130026435,0.4546013096919168,0.7430678430058734,0.3409971180629909,0.4746933500708984,0.7761627510449303,0.3711212854425812,0.4122137302030322,0.6199637779183744,0.474481279863352,0.2931967488021056,0.5494418159565524,0.2277678558555427,0.2622463148608116,0.0502245804038649,1
2021-05-03 05:00:00+00:00,55860.24,3351.15,16.668976321561253,-0.0343424117894771,0.0971980303050146,-0.1315404420944917,1.4065888712919017,-0.239878333948408,-0.3374101949958731,0.7472775406248553,0.7466364646384793,0.5579446610358796,0.7350097244803909,1.0085421972928832,0.74128832255909,0.7909448719587858,0.9507638800847916,0.7520018153967039,0.8902191392737103,0.8541268891877335,0.7603601041232358,0.8607243203077082,0.9097489165029758,0.7830430178076978,0.5093936380695232,0.44856082435829,0.0,0.0,0.3235368624782133,0.3554855898913238,0.597004674138013,0.3265530907193646,0.3982718554818774,0.6427096528318708,0.3527851637922682,0.3418562949158698,0.4385086598390115,0.4719416308377048,0.2321358263044841,0.4295842360301157,0.4805880804946451,0.3037019091271084,0.4685214129946645,1
2021-05-04 05:00:00+00:00,54545.41,3262.14,16.72074466454536,-0.0235378508935871,-0.0265610312877669,0.0030231803941798,1.0238083059118974,-0.064389084263932,-0.0659220792794747,0.7472701981996118,0.7846740277537105,0.586363516241603,0.7315293900781558,1.017955371572191,0.7446642720929872,0.7957240832581499,0.946198818010932,0.752913187041694,0.8960336456327154,0.8500615271189832,0.7616837291565357,0.8615816918062803,0.903532173292794,0.7784667784670105,0.7584720820741566,0.305647798516959,0.042567107428733,0.2033566590225834,0.323530385862927,0.3710142377209746,0.6233452192447836,0.3225758359608149,0.4054747820974824,0.6478635034973564,0.3596560310328539,0.336895837214124,0.4410859636374971,0.4813433440357307,0.226232532316422,0.4336686962024648,0.4824538779170628,0.2939142493655168,0.4532437391817174,1
2021-05-05 05:00:00+00:00,57011.83,3444.0,16.55395760743322,0.0452177369278183,0.0557486803141495,-0.0105309433863312,1.062114498201894,-0.0119497358665185,-0.0126919877135125,0.7715146892016289,0.8264441524749576,0.6376138034392205,0.7401690251272077,1.0075901270458862,0.7457870020633529,0.8030296819113973,0.942221836170607,0.7566321013900553,0.8958318110356056,0.8519970687684051,0.7632460771118278,0.8404687858744729,0.9206971091695886,0.7738171815019013,0.733383280222229,0.3199496057238858,0.0552869257693941,0.2432283622525986,0.3449159956342075,0.3880666854456583,0.6708475022147155,0.3324490336595493,0.397543334802398,0.6495775050091771,0.3701589770871836,0.3325743953847768,0.4516028281120096,0.4810169894187947,0.2290431236461602,0.4384898108219373,0.4365083274375816,0.3209387775648545,0.4377211625623006,1
2021-05-06 05:00:00+00:00,55871.7,3424.54,16.315096334106187,-0.0199981302126244,-0.005650406504065,-0.0143477237085594,1.0101774587064118,0.0984589968575573,0.0994610592323499,0.7559429478031479,0.5469531225900213,0.4134653558008371,0.7425845177056786,1.003531856452553,0.7452072196261034,0.8056553736127848,0.9372207337326394,0.7550769203930178,0.8917909304232132,0.859144070769249,0.7661768902388955,0.8430379747576306,0.91327098637106,0.7699221227551619,0.7263183864107671,0.3005586539910793,0.0820679416742776,0.32723597660408,0.3311804552601281,0.2739658488205146,0.4630913398749183,0.3352094090262941,0.3944379609505291,0.6486923874829663,0.3739338215049939,0.3271401303727654,0.4472048704697778,0.4744831242478781,0.2394212531290329,0.4475337539243597,0.4420993530360336,0.309247066834266,0.4247175950946049,1
2021-05-07 05:00:00+00:00,58118.42,3567.82,16.28961662864158,0.040212128859512,0.0418391959212041,-0.001627067061692,0.8086466533879509,0.2491649443109426,0.2014863983586389,0.7737076540138738,0.5266583241228363,0.4074795764239579,0.7632974042709958,0.9794523581179152,0.7476134425585105,0.7942919220415668,0.9509698643269356,0.7553476813398498,0.8945786233717493,0.8575027355938736,0.7671036167450764,0.8484690243029865,0.9157036032162862,0.7769461427716514,0.7498644332971436,0.2253161265662374,0.1186235498778081,0.4036574878942517,0.3468503686723099,0.2656805972859741,0.4575433088041906,0.3588796708845511,0.3760124166762407,0.6523658172949272,0.3575970742364537,0.3420801201572028,0.4479705660239326,0.4789906590183414,0.237037877697932,0.450393459210924,0.4539183116317228,0.3130769863285111,0.4481671305490642,1
2021-05-08 05:00:00+00:00,58202.85,3900.12,14.923348512353463,0.001452723594344,0.093138106743053,-0.091685383148709,0.6817204801700428,0.2287455383700998,0.1559405182544194,0.8429438868869492,0.3432254696132855,0.2893198114344214,0.7387734832002474,0.9857699975408966,0.7282607347175876,0.7785966670960449,0.9466807989002878,0.7370825148275851,0.8822939348516592,0.8554408260026174,0.7547502524066029,0.8395866062000109,0.915614720014596,0.7687378553638278,0.5831657013087114,0.1779276091919964,0.1136705681545541,0.3695416004057823,0.4079223482050584,0.1907950377290373,0.3480247304877252,0.3308542369738647,0.3808466513135,0.6228212505934958,0.3350326789245799,0.3374195641155367,0.3963177816841882,0.4591270435948075,0.2340437880478232,0.4122732791254642,0.4345885428804069,0.3129370483405242,0.4207639446045071,1
2021-05-09 05:00:00+00:00,59240.0,4099.99,14.448815728818852,0.0178195741273838,0.0512471411136068,-0.0334275669862229,0.6831013622052658,0.245462700607371,0.1676759051554785,0.9478195757108412,0.1239471526296071,0.117479537615961,0.7246372604524501,1.0056016707080806,0.7286964397683104,0.7745050560916167,0.9685543733897404,0.7501502592900016,0.7790088657518999,1.0109327488405553,0.7875255740257312,0.8486502009872575,0.9094883942620708,0.7718375085860845,0.6910014293642757,0.1784431683604399,0.1177255244674731,0.3783319265172564,0.5004312218908538,0.1012757446344017,0.1887513730316024,0.3146996516111806,0.3960217752673713,0.6234864141994907,0.3291503451563938,0.3611876836471907,0.4332725713419145,0.2921211900694557,0.4598329103346819,0.5134118133941312,0.4543125852821509,0.3032917421042644,0.4311120683230048,1
2021-05-10 05:00:00+00:00,55374.76,3912.29,14.154052997093777,-0.065247130317353,-0.0457805994648766,-0.0194665308524764,0.778815599667575,0.9872195709826432,0.7688620021784134,0.9240763360789112,0.4327465654717863,0.399890860671901,0.7438703317875586,0.999150498087742,0.7432384125182331,0.7792704149545171,0.9773882909265976,0.7616497790420561,0.7859597378040807,1.0104647608106765,0.794184618467022,0.859191012456546,0.8763869770911568,0.7529838141506828,0.7168434295465969,0.2141785544510442,0.2976479097077933,0.8286470197536793,0.4794877565307348,0.2273415842756646,0.4505095663074394,0.3366788109816013,0.3910853615146754,0.6456867330082098,0.3360012973428128,0.3707867369729304,0.4657925165263539,0.3033603394444613,0.4591533470198898,0.5339603835118691,0.4772513217602626,0.2511767684047266,0.3681694264921728,1
